City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
6,Atuona,PF,78.1,scattered clouds,-9.8,-139.0333,Villa Enata
11,Rikitea,PF,75.76,light rain,-23.1203,-134.9692,People ThankYou
22,Butaritari,KI,81.5,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
36,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
40,Faya,SA,75.72,clear sky,18.3851,42.4509,املاك خالد الشعشوع
42,Kavieng,PG,80.98,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
43,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
48,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
59,Papar,MY,80.6,overcast clouds,5.7333,115.9333,Koposizon Homestay
60,Tabuk,PH,76.68,moderate rain,17.4189,121.4443,Golden Berries Hotel and Convention
63,Sorong,ID,79.12,moderate rain,-0.8833,131.25,Waigo Splash Hotel
73,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
78,Harper,LR,79.21,moderate rain,4.375,-7.7169,Screensaver
81,Red Bluff,US,80.85,clear sky,40.1785,-122.2358,Hampton Inn & Suites Red Bluff
83,Quepos,CR,76.86,overcast clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
96,Meiktila,MM,77.22,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
99,Acandi,CO,81.81,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
109,Muisne,EC,77.7,light rain,0.6,-80.0333,Quinta Samay
111,Dalupirip,PH,75.63,light rain,16.3258,120.7256,Dalupirip Proper
125,Honiara,SB,77.74,broken clouds,-9.4333,159.95,Heritage Park Hotel
133,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
138,Hobyo,SO,81.03,clear sky,5.3505,48.5268,Iftin hotel hobyo
148,Santiago Del Estero,AR,76.57,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
151,Kalmunai,LK,78.67,overcast clouds,7.4167,81.8167,VS Villa
164,La Cruz,MX,78.96,clear sky,23.9167,-106.9,Jesús angel
175,Akyab,MM,79.16,overcast clouds,20.15,92.9,Hotel Memory
180,Tezu,IN,76.19,few clouds,27.9167,96.1667,Circuit House
185,Tanete,ID,75.56,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
186,Semporna,MY,80.91,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
205,Bankura,IN,80.69,broken clouds,23.25,87.0667,Hotel Priyadarsini
214,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
217,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
219,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
224,Sao Jose Da Coroa Grande,BR,79.45,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
240,Karratha,AU,75.25,clear sky,-20.7377,116.8463,ibis Styles Karratha
241,Umm Lajj,SA,81.41,clear sky,25.0213,37.2685,Moon light Furnished Units
