City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Abu Kamal,SY,2022-05-23 16:37:56,34.4506,40.9171,81.82,25,1,17.29
1,Rikitea,PF,2022-05-23 16:37:56,-23.1203,-134.9692,75.85,74,24,13.87
2,Nikolskoye,RU,2022-05-23 16:37:57,59.7035,30.7861,58.89,61,29,4.85
3,Cape Town,ZA,2022-05-23 16:35:02,-33.9258,18.4232,62.28,82,0,9.22
4,New Norfolk,AU,2022-05-23 16:37:57,-42.7826,147.0587,44.71,87,5,2.06
5,Mar Del Plata,AR,2022-05-23 16:37:57,-38.0023,-57.5575,60.82,73,0,5.75
6,Georgetown,MY,2022-05-23 16:37:58,5.4112,100.3354,84.13,93,20,0.0
7,Bluff,NZ,2022-05-23 16:37:58,-46.6,168.3333,52.81,78,88,25.88
8,Vostok,RU,2022-05-23 16:37:58,46.4856,135.8833,46.83,89,92,5.82
9,Ushuaia,AR,2022-05-23 16:35:58,-54.8,-68.3,37.02,75,75,2.3
10,Aqtobe,KZ,2022-05-23 16:37:59,50.2797,57.2072,60.89,63,0,4.47
11,Broome,US,2022-05-23 16:37:59,42.2506,-75.833,64.71,57,75,11.5
12,Carnarvon,AU,2022-05-23 16:38:00,-24.8667,113.6333,71.51,60,31,10.89
13,Atuona,PF,2022-05-23 16:35:01,-9.8,-139.0333,78.84,75,16,19.93
14,Juegang,CN,2022-05-23 16:38:00,32.3174,121.1855,68.95,90,5,10.38
15,Sioux Lookout,CA,2022-05-23 16:38:00,50.1001,-91.917,57.27,38,20,9.22
16,Tsabong,BW,2022-05-23 16:38:01,-26.0217,22.401,62.94,50,3,5.55
17,Seeboden,AT,2022-05-23 16:38:01,46.8219,13.495,74.98,98,100,1.88
18,Jamestown,US,2022-05-23 16:35:58,42.097,-79.2353,62.02,48,0,10.36
19,Lakhdenpokhya,RU,2022-05-23 16:38:01,61.5198,30.1992,54.66,54,22,9.06
20,Port Alfred,ZA,2022-05-23 16:38:02,-33.5906,26.891,60.19,81,11,1.81
21,Acarau,BR,2022-05-23 16:34:22,-2.8856,-40.12,81.34,76,93,4.43
22,Clyde River,CA,2022-05-23 16:38:03,70.4692,-68.5914,17.83,73,0,19.57
23,Olot,ES,2022-05-23 16:37:08,42.181,2.4901,81.75,38,95,1.99
24,Hobart,AU,2022-05-23 16:38:03,-42.8794,147.3294,45.05,90,75,8.05
25,Irbil,IQ,2022-05-23 16:38:04,36.1926,44.0106,76.82,33,100,11.5
26,Lebu,CL,2022-05-23 16:38:04,-37.6167,-73.65,50.92,71,100,0.98
